flow_id,ip_proto,ndpi_app,ndpi_category,ndpi_client_info,ndpi_server_info,ndpi_j3ac,ndpi_j3as,client_bulk0,client_packet0,client_bulk1,client_packet1,client_bulk_max,client_packet_max,client_bulk_min,client_packet_min,client_bulk_avg,client_packet_avg,client_bulk_median,client_packet_median,client_bulk_25q,client_packet_25q,client_bulk_75q,client_packet_75q,client_bulk_sum,client_packet_sum,client_bulk_number,client_packet_number,client_tcp_window_avg,client_found_tcp_flags,server_bulk0,server_packet0,server_bulk1,server_packet1,server_bulk_max,server_packet_max,server_bulk_min,server_packet_min,server_bulk_avg,server_packet_avg,server_bulk_median,server_packet_median,server_bulk_25q,server_packet_25q,server_bulk_75q,server_packet_75q,server_bulk_sum,server_packet_sum,server_bulk_number,server_packet_number,server_tcp_window_avg,server_found_tcp_flags
TCP 192.168.0.105:35206 13.79.147.101:443,TCP,TLS.Microsoft,Cloud,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,770.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,507.0,[16.0]
TCP 192.168.0.105:35216 13.79.147.101:443,TCP,TLS.Microsoft,Cloud,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,748.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,507.0,[16.0]
TCP 64.233.165.189:443 192.168.0.105:60446,TCP,TLS.Google,Web,,,,,60.0,112,38.0,90,213.0,265,0.0,52,59.666666666666664,111.66666666666667,60.0,112.0,38.0,90.0,60.0,112.0,537.0,1005,7,9,236.55555555555554,"[16.0, 24.0]",0.0,52,0.0,52,387.0,439,0.0,52,54.125,106.125,0.0,52.0,0.0,52.0,11.5,63.5,433.0,849,2,8,307.0,"[16.0, 24.0]"
TCP 192.168.0.105:35212 13.79.147.101:443,TCP,TLS.Microsoft,Cloud,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,838.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,507.0,[16.0]
TCP 192.168.0.105:35208 13.79.147.101:443,TCP,TLS.Microsoft,Cloud,,,,,0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,702.0,[16.0],0.0,52,0.0,52,0.0,52,0.0,52,0.0,52.0,0.0,52.0,0.0,52.0,0.0,52.0,0.0,104,0,2,507.0,[16.0]
TCP 13.92.27.116:443 192.168.0.105:59030,TCP,TLS.Microsoft,Cloud,,,,,549.0,601,53.0,105,741.0,793,0.0,52,291.5,343.5,213.0,265.0,13.25,65.25,561.0,613.0,2915.0,3435,7,10,511.0,"[16.0, 24.0]",0.0,52,0.0,52,469.0,521,0.0,52,98.0,150.0,0.0,52.0,0.0,52.0,137.0,189.0,980.0,1500,4,10,1407.3,"[16.0, 24.0]"
IPv6-ICMP fe80::26:790f:6670:b5e7:0 ff02::2:0,IPv6-ICMP,ICMPV6,Network,,,,,8.0,16,8.0,16,8.0,16,8.0,16,8.0,16.0,8.0,16.0,8.0,16.0,8.0,16.0,64.0,128,8,8,0.0,[0.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TCP 192.168.0.105:33894 52.54.78.229:443,TCP,TLS.Amazon,Web,,ghostery-sign.ghostery.com,0ffee3ba8e615ad22535e7f771690a28,303951d4c50efb2e991652225a6f02b1,0.0,60,0.0,52,1428.0,1480,0.0,52,294.1666666666667,346.8333333333333,0.0,56.0,0.0,52.0,254.5,306.5,3530.0,4162,5,12,2709.0,"[2.0, 16.0, 24.0]",0.0,60,0.0,52,1428.0,1480,0.0,52,818.375,871.375,1131.5,1183.5,0.0,58.0,1428.0,1480.0,6547.0,6971,5,8,3453.5,"[16.0, 18.0, 24.0]"
UDP 192.168.0.104:5353 224.0.0.251:5353,UDP,MDNS,Network,,_airplay._tcp.local,,,117.0,145,117.0,145,117.0,145,70.0,98,109.9,137.9,117.0,145.0,117.0,145.0,117.0,145.0,1099.0,1379,10,10,0.0,[0.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UDP fe80::26:790f:6670:b5e7:5353 ff02::fb:5353,UDP,MDNS,Network,,_airplay._tcp.local,,,117.0,125,117.0,125,117.0,125,70.0,78,110.54545454545455,118.54545454545455,117.0,125.0,117.0,125.0,117.0,125.0,1216.0,1304,11,11,0.0,[0.0],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
